date;temperature;humidity;moisture
2020-08-27_21:58:57;25.1;53.1;674
2020-08-27_22:28:58;25.2;56.6;675
2020-08-27_22:58:58;25.1;79.2;710
2020-08-27_23:28:58;24.9;73.6;693
2020-08-27_23:58:59;24.9;71.1;700
2020-08-28_00:28:59;24.5;71.8;698
2020-08-28_00:58:59;24.9;64.5;703
2020-08-28_01:29:00;25.3;65.3;673
2020-08-28_01:59:00;24.6;70.5;700
2020-08-28_02:29:00;24.6;69.9;683
2020-08-28_02:59:00;24.4;65.5;678
2020-08-28_03:29:01;24.4;70.0;695
2020-08-28_03:59:01;24.3;66.2;715
2020-08-28_04:29:01;24.3;68.8;678
2020-08-28_04:59:02;23.9;64.4;677
2020-08-28_05:29:02;24.4;63.2;681
2020-08-28_05:59:02;24.4;78.6;679
2020-08-28_06:29:02;24.4;71.7;695
2020-08-28_06:59:03;23.1;76.6;699
2020-08-28_07:29:03;23.9;77.6;711
2020-08-28_07:59:03;24.5;79.0;676
2020-08-28_08:29:04;24.5;79.0;644
2020-08-28_08:59:04;24.3;71.9;673
2020-08-28_09:29:04;24.0;84.8;688
2020-08-28_09:59:05;24.3;81.8;691
2020-08-28_10:29:05;24.1;64.9;680
2020-08-28_10:59:05;23.1;88.4;674
2020-08-28_11:29:05;23.7;92.1;677
2020-08-28_11:59:06;23.9;74.5;701
2020-08-28_12:29:06;23.7;88.4;712
2020-08-28_12:59:06;23.6;79.2;676
2020-08-28_13:29:07;23.8;84.8;711
2020-08-28_13:59:07;22.9;85.9;677
2020-08-28_14:29:07;24.1;82.8;717
2020-08-28_14:59:07;24.1;81.5;684
2020-08-28_15:29:08;24.5;91.8;700
2020-08-28_15:59:08;25.0;85.7;712
2020-08-28_16:29:08;25.1;77.5;717
2020-08-28_16:59:09;24.6;75.1;686
2020-08-28_17:29:09;24.8;81.8;717
2020-08-28_17:59:09;25.2;79.0;721
2020-08-28_18:29:10;25.0;88.9;678
2020-08-28_18:59:10;24.6;85.2;716
2020-08-28_19:29:10;24.3;79.7;704
2020-08-28_19:59:10;23.6;91.7;716
2020-08-28_20:29:11;23.4;94.0;708
2020-08-28_20:59:11;23.2;95.5;712
2020-08-28_21:29:11;23.1;93.3;726
2020-08-28_21:59:12;22.7;94.7;716
2020-08-28_22:29:12;24.0;93.0;712
2020-08-28_22:59:12;24.6;92.9;703
2020-08-28_23:29:12;24.5;91.1;649
2020-08-28_23:59:13;24.3;90.4;720
2020-08-29_00:29:13;24.5;95.4;683
2020-08-29_00:59:13;24.6;95.1;721
2020-08-29_01:29:14;24.8;93.6;716
2020-08-29_01:59:14;24.5;95.0;679
2020-08-29_02:29:14;24.6;89.3;713
2020-08-29_02:59:15;24.4;81.5;678
2020-08-29_03:29:15;25.0;81.6;677
2020-08-29_03:59:15;24.5;92.4;694
2020-08-29_04:29:15;24.4;93.2;690
2020-08-29_04:59:16;24.5;94.6;675
2020-08-29_05:29:16;24.6;93.9;691
2020-08-29_05:59:16;24.7;92.6;713
2020-08-29_06:29:17;24.5;93.0;691
2020-08-29_06:59:17;24.3;93.0;677
2020-08-29_07:29:17;24.1;91.4;695
2020-08-29_07:59:17;24.4;90.3;736
2020-08-29_08:29:18;24.6;90.1;724
2020-08-29_08:59:18;24.5;82.2;738
2020-08-29_09:29:18;24.7;94.0;717
2020-08-29_09:59:19;24.4;91.8;704
2020-08-29_10:29:19;24.6;73.5;728
2020-08-29_10:59:19;24.7;78.7;694
2020-08-29_11:29:19;25.2;77.5;695
2020-08-29_11:59:20;24.8;64.7;716
2020-08-29_12:29:20;25.0;67.5;729
2020-08-29_12:59:20;25.3;82.5;736
2020-08-29_13:29:21;25.1;58.4;728
2020-08-29_13:59:21;24.9;86.4;693
2020-08-29_14:29:21;25.5;60.7;728
2020-08-29_14:59:22;26.4;71.7;729
2020-08-29_15:29:22;26.2;90.9;728
2020-08-29_15:59:22;26.0;74.5;700
2020-08-29_16:29:22;25.8;90.0;728
2020-08-29_16:59:23;25.8;92.2;692
2020-08-29_17:29:23;26.0;90.4;689
2020-08-29_17:59:23;25.7;82.5;702
2020-08-29_18:29:24;25.7;85.4;735
2020-08-29_18:59:24;25.8;89.0;694
2020-08-29_19:29:24;25.1;90.3;702
2020-08-29_19:59:25;25.4;85.1;701
2020-08-29_20:29:25;25.4;82.5;699
2020-08-29_20:59:25;25.6;80.9;697
2020-08-29_21:29:25;25.4;92.2;691
2020-08-29_21:59:26;25.6;89.4;717
2020-08-29_22:29:26;25.4;86.7;700
2020-08-29_22:59:26;24.6;92.6;725
2020-08-29_23:29:27;25.6;86.0;729
2020-08-29_23:59:27;25.6;90.6;690
2020-08-30_00:29:27;24.4;90.1;742
2020-08-30_00:59:27;25.4;91.2;745
2020-08-30_01:29:28;25.2;91.2;703
2020-08-30_01:59:28;25.2;91.5;689
2020-08-30_02:29:28;25.2;89.9;749
2020-08-30_02:59:29;25.4;86.6;702
2020-08-30_03:29:29;25.2;90.2;747
2020-08-30_03:59:29;25.2;90.9;736
2020-08-30_04:29:30;24.9;91.9;701
2020-08-30_04:59:30;25.1;90.3;696
2020-08-30_05:29:30;25.4;92.2;751
2020-08-30_05:59:30;24.9;87.3;700
2020-08-30_06:29:31;24.6;93.7;700
2020-08-30_06:59:31;24.9;90.8;750
2020-08-30_07:29:31;24.6;93.4;744
2020-08-30_07:59:32;24.3;91.0;749
2020-08-30_08:29:32;24.9;88.7;746
2020-08-30_08:59:32;24.7;89.3;745
2020-08-30_09:29:32;24.8;90.9;709
2020-08-30_09:59:33;24.6;92.0;713
2020-08-30_10:29:33;24.9;85.8;710
2020-08-30_10:59:33;24.9;85.8;750
2020-08-30_11:29:34;24.6;81.7;740
2020-08-30_11:59:34;24.8;84.0;750
2020-08-30_12:29:34;25.0;85.8;717
2020-08-30_12:59:35;24.9;78.0;727
2020-08-30_13:29:35;25.1;84.3;704
2020-08-30_13:59:35;25.0;80.9;738
2020-08-30_14:29:35;24.8;83.1;744
2020-08-30_14:59:36;25.3;85.3;726
2020-08-30_15:29:36;25.7;91.6;701
2020-08-30_15:59:36;25.8;92.0;708
2020-08-30_16:29:37;25.4;87.6;749
2020-08-30_16:59:37;25.5;83.2;714
2020-08-30_17:29:37;24.2;94.3;745
2020-08-30_17:59:38;23.6;93.6;748
2020-08-30_18:29:38;23.6;96.8;697
2020-08-30_18:59:38;23.7;95.5;649
2020-08-30_19:29:38;23.7;95.6;678
2020-08-30_19:59:39;23.4;97.6;641
2020-08-30_20:29:39;22.6;99.8;697
2020-08-30_20:59:39;23.1;93.6;641
2020-08-30_21:29:40;23.7;97.1;662
2020-08-30_21:59:40;24.2;95.4;717
2020-08-30_22:29:40;24.6;93.2;712
2020-08-30_22:59:40;24.9;93.3;710
2020-08-30_23:29:41;24.8;91.8;753
2020-08-30_23:59:41;24.6;90.8;739
2020-08-31_00:29:41;24.6;90.0;745
2020-08-31_00:59:42;24.6;91.1;712
2020-08-31_01:29:42;24.7;91.4;753
2020-08-31_01:59:42;24.4;92.4;705
2020-08-31_02:29:42;23.9;93.4;715
2020-08-31_02:59:43;24.3;89.1;742
2020-08-31_03:29:43;24.3;95.3;740
2020-08-31_03:59:43;25.1;81.8;752
2020-08-31_04:29:44;24.5;90.4;678
2020-08-31_04:59:44;24.4;92.3;734
2020-08-31_05:29:44;24.0;86.6;680
2020-08-31_05:59:45;24.3;92.1;711
2020-08-31_06:29:45;24.3;90.9;718
2020-08-31_06:59:45;24.2;93.6;717
2020-08-31_07:29:45;24.5;84.2;738
2020-08-31_07:59:46;24.1;91.3;714
