date measurement;celsius;humidity;moisture
2020-08-27_21:58:57;25.1;53.1;674
2020-08-27_22:28:58;25.2;56.6;675
2020-08-27_22:58:58;25.1;59.2;710
2020-08-27_23:28:58;24.9;53.6;693
2020-08-27_23:58:59;24.9;51.1;700
2020-08-28_00:28:59;24.5;51.8;698
2020-08-28_00:58:59;24.9;44.5;703
2020-08-28_01:29:00;25.3;45.3;673
2020-08-28_01:59:00;24.6;50.5;700
2020-08-28_02:29:00;24.6;49.9;683
2020-08-28_02:59:00;24.4;45.5;678
2020-08-28_03:29:01;24.4;50;695
2020-08-28_03:59:01;24.3;46.2;715
2020-08-28_04:29:01;24.3;48.8;678
2020-08-28_04:59:02;23.9;44.4;677
2020-08-28_05:29:02;24.4;43.2;681
2020-08-28_05:59:02;24.4;58.6;679
2020-08-28_06:29:02;24.4;51.7;695
2020-08-28_06:59:03;23.1;56.6;699
2020-08-28_07:29:03;23.9;57.6;711
2020-08-28_07:59:03;24.5;59;676
2020-08-28_08:29:04;24.5;59;644
2020-08-28_08:59:04;24.3;51.9;673
2020-08-28_09:29:04;24.0;64.8;688
2020-08-28_09:59:05;24.3;61.8;691
2020-08-28_10:29:05;24.1;44.9;680
2020-08-28_10:59:05;23.1;68.4;674
2020-08-28_11:29:05;23.7;72.1;677
2020-08-28_11:59:06;23.9;54.5;701
2020-08-28_12:29:06;23.7;68.4;712
2020-08-28_12:59:06;23.6;59.2;676
2020-08-28_13:29:07;23.8;64.8;711
2020-08-28_13:59:07;22.9;65.9;677
2020-08-28_14:29:07;24.1;62.8;717
2020-08-28_14:59:07;24.1;61.5;684
2020-08-28_15:29:08;24.5;71.8;700
2020-08-28_15:59:08;25.0;65.7;712
2020-08-28_16:29:08;25.1;57.5;717
2020-08-28_16:59:09;24.6;55.1;686
2020-08-28_17:29:09;24.8;61.8;717
2020-08-28_17:59:09;25.2;59;721
2020-08-28_18:29:10;25.0;68.9;678
2020-08-28_18:59:10;24.6;65.2;716
2020-08-28_19:29:10;24.3;59.7;704
2020-08-28_19:59:10;23.6;71.7;716
2020-08-28_20:29:11;23.4;74;708
2020-08-28_20:59:11;23.2;75.5;712
2020-08-28_21:29:11;23.1;73.3;726
2020-08-28_21:59:12;22.7;74.7;716
2020-08-28_22:29:12;24.0;73;712
2020-08-28_22:59:12;24.6;72.9;703
2020-08-28_23:29:12;24.5;71.1;649
2020-08-28_23:59:13;24.3;70.4;720
2020-08-29_00:29:13;24.5;75.4;683
2020-08-29_00:59:13;24.6;75.1;721
2020-08-29_01:29:14;24.8;73.6;716
2020-08-29_01:59:14;24.5;75;679
2020-08-29_02:29:14;24.6;69.3;713
2020-08-29_02:59:15;24.4;61.5;678
2020-08-29_03:29:15;25.0;61.6;677
2020-08-29_03:59:15;24.5;72.4;694
2020-08-29_04:29:15;24.4;73.2;690
2020-08-29_04:59:16;24.5;74.6;675
2020-08-29_05:29:16;24.6;73.9;691
2020-08-29_05:59:16;24.7;72.6;713
2020-08-29_06:29:17;24.5;73;691
2020-08-29_06:59:17;24.3;73;677
2020-08-29_07:29:17;24.1;71.4;695
2020-08-29_07:59:17;24.4;70.3;736
2020-08-29_08:29:18;24.6;70.1;724
2020-08-29_08:59:18;24.5;62.2;738
2020-08-29_09:29:18;24.7;74;717
2020-08-29_09:59:19;24.4;71.8;704
2020-08-29_10:29:19;24.6;53.5;728
2020-08-29_10:59:19;24.7;58.7;694
2020-08-29_11:29:19;25.2;57.5;695
2020-08-29_11:59:20;24.8;44.7;716
2020-08-29_12:29:20;25.0;47.5;729
2020-08-29_12:59:20;25.3;62.5;736
2020-08-29_13:29:21;25.1;38.4;728
2020-08-29_13:59:21;24.9;66.4;693
2020-08-29_14:29:21;25.5;40.7;728
2020-08-29_14:59:22;26.4;51.7;729
2020-08-29_15:29:22;26.2;70.9;728
2020-08-29_15:59:22;26.0;54.5;700
2020-08-29_16:29:22;25.8;70;728
2020-08-29_16:59:23;25.8;72.2;692
2020-08-29_17:29:23;26.0;70.4;689
2020-08-29_17:59:23;25.7;62.5;702
2020-08-29_18:29:24;25.7;65.4;735
2020-08-29_18:59:24;25.8;69;694
2020-08-29_19:29:24;25.1;70.3;702
2020-08-29_19:59:25;25.4;65.1;701
2020-08-29_20:29:25;25.4;62.5;699
2020-08-29_20:59:25;25.6;60.9;697
2020-08-29_21:29:25;25.4;72.2;691
2020-08-29_21:59:26;25.6;69.4;717
2020-08-29_22:29:26;25.4;66.7;700
2020-08-29_22:59:26;24.6;72.6;725
2020-08-29_23:29:27;25.6;66;729
2020-08-29_23:59:27;25.6;70.6;690
2020-08-30_00:29:27;24.4;70.1;742
2020-08-30_00:59:27;25.4;71.2;745
2020-08-30_01:29:28;25.2;71.2;703
2020-08-30_01:59:28;25.2;71.5;689
2020-08-30_02:29:28;25.2;69.9;749
2020-08-30_02:59:29;25.4;66.6;702
2020-08-30_03:29:29;25.2;70.2;747
2020-08-30_03:59:29;25.2;70.9;736
2020-08-30_04:29:30;24.9;71.9;701
2020-08-30_04:59:30;25.1;70.3;696
2020-08-30_05:29:30;25.4;72.2;751
2020-08-30_05:59:30;24.9;67.3;700
2020-08-30_06:29:31;24.6;73.7;700
2020-08-30_06:59:31;24.9;70.8;750
2020-08-30_07:29:31;24.6;73.4;744
2020-08-30_07:59:32;24.3;71;749
2020-08-30_08:29:32;24.9;68.7;746
2020-08-30_08:59:32;24.7;69.3;745
2020-08-30_09:29:32;24.8;70.9;709
2020-08-30_09:59:33;24.6;72;713
2020-08-30_10:29:33;24.9;65.8;710
2020-08-30_10:59:33;24.9;65.8;750
2020-08-30_11:29:34;24.6;61.7;740
2020-08-30_11:59:34;24.8;64;750
2020-08-30_12:29:34;25.0;65.8;717
2020-08-30_12:59:35;24.9;58;727
2020-08-30_13:29:35;25.1;64.3;704
2020-08-30_13:59:35;25.0;60.9;738
2020-08-30_14:29:35;24.8;63.1;744
2020-08-30_14:59:36;25.3;65.3;726
2020-08-30_15:29:36;25.7;71.6;701
2020-08-30_15:59:36;25.8;72;708
2020-08-30_16:29:37;25.4;67.6;749
2020-08-30_16:59:37;25.5;63.2;714
2020-08-30_17:29:37;24.2;74.3;745
2020-08-30_17:59:38;23.6;73.6;748
2020-08-30_18:29:38;23.6;76.8;697
2020-08-30_18:59:38;23.7;75.5;649
2020-08-30_19:29:38;23.7;75.6;678
2020-08-30_19:59:39;23.4;77.6;641
2020-08-30_20:29:39;22.6;79.8;697
2020-08-30_20:59:39;23.1;73.6;641
2020-08-30_21:29:40;23.7;77.1;662
2020-08-30_21:59:40;24.2;75.4;717
2020-08-30_22:29:40;24.6;73.2;712
2020-08-30_22:59:40;24.9;73.3;710
2020-08-30_23:29:41;24.8;71.8;753
2020-08-30_23:59:41;24.6;70.8;739
2020-08-31_00:29:41;24.6;70;745
2020-08-31_00:59:42;24.6;71.1;712
2020-08-31_01:29:42;24.7;71.4;753
2020-08-31_01:59:42;24.4;72.4;705
2020-08-31_02:29:42;23.9;73.4;715
2020-08-31_02:59:43;24.3;69.1;742
2020-08-31_03:29:43;24.3;75.3;740
2020-08-31_03:59:43;25.1;61.8;752
2020-08-31_04:29:44;24.5;70.4;678
2020-08-31_04:59:44;24.4;72.3;734
2020-08-31_05:29:44;24.0;66.6;680
2020-08-31_05:59:45;24.3;72.1;711
2020-08-31_06:29:45;24.3;70.9;718
2020-08-31_06:59:45;24.2;73.6;717
2020-08-31_07:29:45;24.5;64.2;738
2020-08-31_07:59:46;24.1;71.3;714
2020-08-31_08:29:46;24.5;71.8;683
2020-08-31_08:59:46;24.7;72.5;749
